portfolio_id,desk_id,office_id_OFF00001001,office_id_OFF00001002,pf_category_A,pf_category_B,pf_category_C,pf_category_D,sold,country_code_M,country_code_N,country_code_T,country_code_U,country_code_Z,euribor_rate,currency_CHF,currency_EUR,currency_GBP,currency_JPY,currency_USD,libor_rate,bought,indicator_code,type_A,type_B,type_C,type_D,type_E,type_F,type_H,hedge_value,status,return,df1,df2
PF00001070,DSK00001060,1,0,1,0,0,0,442354000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,440001641.2,0,1,0,0,0,0,0,0,0,0,0.02538,0,-13
PF00001071,DSK00001061,1,0,1,0,0,0,365321000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,364663137.6,0,1,0,0,0,0,0,0,0,0,0.02514,13,21
PF00001072,DSK00001062,1,0,1,0,0,0,365563000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,364888362,0,1,0,0,0,0,0,0,0,0,0.02496,44,-10
PF00001073,DSK00001048,1,0,1,0,0,0,282315000,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,281775165.7,0,1,0,0,0,0,0,0,1,0,0.02508,16,19
PF00001074,DSK00001048,0,1,0,1,0,0,7.70E+07,0,0,1,0,0,0.02079,0,0,0,0,1,2.469196667,76852762.92,0,0,1,0,0,0,0,0,1,0,0.02508,16,19
PF00001075,DSK00001063,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,133973361.7,0,0,1,0,0,0,0,0,1,0,0.0252,0,33
PF00001076,DSK00001063,1,0,1,0,0,0,49346000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,49262663.99,0,1,0,0,0,0,0,0,1,0,0.0252,0,33
PF00001079,DSK00001066,1,0,1,0,0,0,99176000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,99004392.39,0,1,0,0,0,0,0,0,1,0,0.02496,54,-24
PF00001080,DSK00001067,1,0,1,0,0,0,99176000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,99004392.39,0,1,0,0,0,0,0,0,1,0,0.02496,85,-54
PF00001081,DSK00001068,1,0,1,0,0,0,81290000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,81143963.41,0,1,0,0,0,0,0,0,1,0,0.02508,31,4
PF00001082,DSK00001069,1,0,1,0,0,0,387178000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,385006563,0,1,0,0,0,0,0,0,0,0,0.02592,27,69
PF00001083,DSK00001070,1,0,1,0,0,0,82654000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,82504803.81,0,1,0,0,0,0,0,0,1,0,0.0252,0,34
PF00001084,DSK00001071,1,0,1,0,0,0,111108800,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,110927359.8,0,1,0,0,0,0,0,0,1,0,0.025236,0,33
PF00001089,DSK00001075,1,0,1,0,0,0,83490000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,83051453.72,0,1,0,0,0,0,0,0,1,0,0.02622,0,91
PF00001090,DSK00001076,1,0,1,0,0,0,91333000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,90846165.49,0,1,0,0,0,0,0,0,1,0,0.02544,0,-18
PF00001091,DSK00001077,1,0,1,0,0,0,109450000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,108847769.5,0,1,0,0,0,0,0,0,1,0,0.02598,0,74
PF00001093,DSK00001079,0,1,0,1,0,0,44077000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,44004817.43,0,0,1,0,0,0,0,0,1,0,0.025308,0,30
PF00001094,DSK00001080,1,0,1,0,0,0,340428000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,339850622.1,0,1,0,0,0,0,0,0,0,0,0.025308,0,31
PF00001096,DSK00001081,1,0,1,0,0,0,88154000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,88009395.67,0,1,0,0,0,0,0,0,1,0,0.02535,0,30
PF00001097,DSK00001082,1,0,1,0,0,0,356312000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,355748361.2,0,1,0,0,0,0,0,0,0,0,0.02535,0,29
PF00001098,DSK00001083,1,0,1,0,0,0,451836000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,451003147.5,0,1,0,0,0,0,0,0,0,0,0.02493,104,-70
PF00001101,DSK00001086,1,0,1,0,0,0,99176000,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,99002498.12,0,1,0,0,0,0,0,0,1,0,0.025236,0,23
PF00001102,DSK00001087,1,0,1,0,0,0,451739200,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,451001511.9,0,1,0,0,0,0,0,0,0,0,0.025236,0,21
PF00001103,DSK00001088,1,0,1,0,0,0,42185550,0,0,1,0,0,0.02093,0,0,0,0,1,2.803863636,42108497.3,0,1,0,0,0,0,0,0,1,0,0.0255,0,35
PF00001106,DSK00001090,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,133929908,0,0,1,0,0,0,0,0,1,0,0.0264,0,35
PF00001109,DSK00001093,1,0,1,0,0,0,81477000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,81321959.68,0,1,0,0,0,0,0,0,1,0,0.026568,0,35
PF00001110,DSK00001094,1,0,1,0,0,0,62513000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,62393616.75,0,1,0,0,0,0,0,0,1,0,0.026664,0,35
PF00001111,DSK00001095,1,0,1,0,0,0,159973000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,159135008.3,0,1,0,0,0,0,0,0,1,0,0.026148,0,91
PF00001116,DSK00001100,0,1,0,1,0,0,40788000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,40704978.8,0,0,1,0,0,0,0,0,1,0,0.0267,0,35
PF00001117,DSK00001101,1,0,1,0,0,0,330385000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,329751076.5,0,1,0,0,0,0,0,0,0,0,0.02679,0,31
PF00001118,DSK00001102,1,0,1,0,0,0,411026000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,410212866.9,0,1,0,0,0,0,0,0,0,0,0.02676,0,34
PF00001121,DSK00001104,0,1,0,1,0,0,88187000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,88007098.82,0,0,1,0,0,0,0,0,1,0,0.02676,0,35
PF00001122,DSK00001105,1,0,1,0,0,0,312928000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,312235773.3,0,1,0,0,0,0,0,0,0,0,0.026604,0,37
PF00001124,DSK00001106,1,0,1,0,0,0,451869000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,451008763.4,0,1,0,0,0,0,0,0,0,0,0.02658,2,29
PF00001125,DSK00001107,1,0,1,0,0,0,99209000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,99006885.69,0,1,0,0,0,0,0,0,1,0,0.026724,0,33
PF00001127,DSK00001109,1,0,1,0,0,0,144870000,0,0,1,0,0,0.02169,0,0,0,0,1,2.752962174,144595449.4,0,1,0,0,0,0,0,0,1,0,0.02646,0,33
PF00001128,DSK00001110,0,1,0,1,0,0,134200000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,133972715.3,0,0,1,0,0,0,0,0,1,0,0.025272,0,33
PF00001129,DSK00001110,1,0,1,0,0,0,60027000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,59925336.67,0,1,0,0,0,0,0,0,1,0,0.025272,0,33
PF00001130,DSK00001111,1,0,1,0,0,0,21164000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,21128139.09,0,1,0,0,0,0,0,0,1,0,0.025284,0,33
PF00001131,DSK00001112,1,0,1,0,0,0,153021000,0,1,0,0,0,0.02125,0,0,1,0,0,4.688721429,152456701.4,0,0,0,1,0,0,0,0,1,0,0.0579,0,30
PF00001137,DSK00001118,1,0,1,0,0,0,131153000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,130938624.4,0,1,0,0,0,0,0,0,1,0,0.02526,0,30
PF00001136,DSK00001117,1,0,1,0,0,0,62513000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,62399730.62,0,1,0,0,0,0,0,0,1,0,0.025296,0,33
PF00001138,DSK00001119,1,0,1,0,0,0,41877000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,41806210.47,0,1,0,0,0,0,0,0,1,0,0.025224,0,33
PF00001139,DSK00001120,1,0,1,0,0,0,387024000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,385005288.9,0,1,0,0,0,0,0,0,0,0,0.02574,0,92
PF00001140,DSK00001121,0,1,0,1,0,0,2.20E+07,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,21960231.85,0,0,1,0,0,0,0,0,1,0,0.025236,0,35
PF00001141,DSK00001121,1,0,1,0,0,0,168157000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,167853032.1,0,1,0,0,0,0,0,0,1,0,0.025236,0,35
PF00001146,DSK00001125,1,0,1,0,0,0,59059000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,58959142.05,0,1,0,0,0,0,0,0,1,0,0.02523,0,33
PF00001147,DSK00001126,1,0,1,0,0,0,82951000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,82508753.08,0,1,0,0,0,0,0,0,1,0,0.025728,0,92
PF00001144,DSK00001123,1,0,1,0,0,0,112816000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,112625475.2,0,1,0,0,0,0,0,0,1,0,0.0252,0,33
PF00001149,DSK00001127,0,1,0,1,0,0,4.40E+07,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,43930397.78,0,0,1,0,0,0,0,0,1,0,0.02535,0,28
PF00001150,DSK00001128,1,0,1,0,0,0,104676000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,104118963.5,0,1,0,0,0,0,0,0,1,0,0.02568,0,91
PF00001151,DSK00001129,1,0,1,0,0,0,42196000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,42116820.38,0,1,0,0,0,0,0,0,1,0,0.02538,0,34
PF00001152,DSK00001130,1,0,1,0,0,0,120692000,0,0,1,0,0,0.02125,0,0,0,0,1,3.06556619,120494723.4,0,1,0,0,0,0,0,0,1,0,0.02526,0,32
PF00001154,DSK00001131,1,0,1,0,0,0,70246000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,70130907.39,0,1,0,0,0,0,0,0,1,0,0.02532,0,32
PF00001156,DSK00001133,1,0,1,0,0,0,2310000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,2306215.245,0,1,0,0,0,0,0,0,1,0,0.02532,0,29
PF00001157,DSK00001134,1,0,1,0,0,0,78001000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,77873201.42,0,1,0,0,0,0,0,0,1,0,0.02532,0,30
PF00001158,DSK00001135,1,0,1,0,0,0,746955000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,745732909.5,0,1,0,0,0,0,0,0,0,0,0.025284,0,30
PF00001159,DSK00001136,1,0,1,0,0,0,132506000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,132289412.8,0,1,0,0,0,0,0,0,1,0,0.02526,0,30
PF00001160,DSK00001137,1,0,1,0,0,0,62502000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,62399837.6,0,1,0,0,0,0,0,0,1,0,0.02526,0,32
PF00001163,DSK00001140,1,0,1,0,0,0,115516500,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,115327683,0,1,0,0,0,0,0,0,1,0,0.02526,0,32
PF00001166,DSK00001143,1,0,1,0,0,0,224015000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,223648837.2,0,1,0,0,0,0,0,0,1,0,0.02526,0,30
PF00001167,DSK00001144,1,0,1,0,0,0,367752000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,367172326.7,0,1,0,0,0,0,0,0,0,0,0.02526,0,28
PF00001168,DSK00001144,0,1,0,1,0,0,4.40E+07,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,43930644.5,0,0,1,0,0,0,0,0,1,0,0.02526,0,28
PF00001169,DSK00001146,1,0,1,0,0,0,97504000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,97338629.78,0,1,0,0,0,0,0,0,1,0,0.025308,0,-6
PF00001170,DSK00001146,1,0,1,0,0,0,2541000,1,0,0,0,0,0.02106,1,0,0,0,0,0.964959,2535933.768,0,0,0,0,1,0,0,0,1,0,0.02976,0,-6
PF00001172,DSK00001147,1,0,1,0,0,0,69927000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,69800836.93,0,1,0,0,0,0,0,0,1,0,0.025188,0,35
PF00001173,DSK00001148,1,0,1,0,0,0,100837000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,100672490,0,1,0,0,0,0,0,0,1,0,0.025212,0,8
PF00001174,DSK00001148,1,0,1,0,0,0,3487000,1,0,0,0,0,0.02106,1,0,0,0,0,0.964959,3480016.766,0,0,0,0,1,0,0,0,1,0,0.03096,0,8
PF00001175,DSK00001148,1,0,1,0,0,0,9944000,0,1,0,0,0,0.02106,0,0,1,0,0,5.0547195,9907405.032,0,0,0,1,0,0,0,0,1,0,0.05778,0,8
PF00001182,DSK00001152,1,0,1,0,0,0,100870000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,100676198.3,0,1,0,0,0,0,0,0,1,0,0.0252,0,35
PF00001177,DSK00001149,1,0,1,0,0,0,2211000,1,0,0,0,0,0.02106,1,0,0,0,0,0.964959,2208792.435,0,0,0,0,1,0,0,0,1,0,0.03084,0,-6
PF00001181,DSK00001151,1,0,1,0,0,0,42185000,0,0,1,0,0,0.02106,0,0,0,0,1,3.378094,42111217.64,0,1,0,0,0,0,0,0,1,0,0.02523,0,34
PF00001183,DSK00001152,1,0,1,0,0,0,3960000,1,0,0,0,0,0.02103,1,0,0,0,0,0.878115652,3950150.957,0,0,0,0,1,0,0,0,1,0,0.03264,0,35
PF00001184,DSK00001152,1,0,1,0,0,0,9944000,0,1,0,0,0,0.02103,0,0,1,0,0,4.746005652,9900542.045,0,0,0,1,0,0,0,0,1,0,0.05826,0,35
PF00001185,DSK00001153,0,1,0,1,0,0,1.10E+08,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,109801631.2,0,0,1,0,0,0,0,0,1,0,0.025176,0,35
PF00001186,DSK00001153,1,0,1,0,0,0,74987000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,74851771.96,0,1,0,0,0,0,0,0,1,0,0.025176,0,35
PF00001187,DSK00001154,1,0,1,0,0,0,10142000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,10122532.68,0,1,0,0,0,0,0,0,1,0,0.025176,0,35
PF00001188,DSK00001155,1,0,1,0,0,0,162690000,0,1,0,0,0,0.02103,0,0,1,0,0,4.746005652,161982646.2,0,0,0,1,0,0,0,0,1,0,0.05796,0,35
PF00001191,DSK00001158,1,0,1,0,0,0,77286000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,77137686.73,0,1,0,0,0,0,0,0,1,0,0.02517,0,35
PF00001192,DSK00001159,1,0,1,0,0,0,1093851000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,1091753378,0,1,0,0,0,0,0,0,0,0,0.025152,0,35
PF00001193,DSK00001160,1,0,1,0,0,0,222057000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,221239685.3,0,1,0,0,0,0,0,0,1,0,0.025332,0,65
PF00001195,DSK00001163,1,0,1,0,0,0,156926000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,156642872.4,0,1,0,0,0,0,0,0,1,0,0.025188,0,35
PF00001197,DSK00001165,0,1,0,1,0,0,88176000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,88006587.32,0,0,1,0,0,0,0,0,1,0,0.0252,0,35
PF00001200,DSK00001168,1,0,1,0,0,0,151316000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,151060759.8,0,1,0,0,0,0,0,0,1,0,0.02517,0,31
PF00001201,DSK00001168,0,1,0,1,0,0,30800000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,30748046.48,0,0,1,0,0,0,0,0,1,0,0.02517,0,31
PF00001202,DSK00001169,1,0,1,0,0,0,616000,1,0,0,0,0,0.02103,1,0,0,0,0,0.878115652,615084.5492,0,0,0,0,1,0,0,0,1,0,0.03384,0,21
PF00001205,DSK00001171,1,0,1,0,0,0,6633000,0,1,0,0,0,0.02103,0,0,1,0,0,4.746005652,6604101.177,0,0,0,1,0,0,0,0,1,0,0.05808,0,35
PF00001206,DSK00001172,1,0,1,0,0,0,202312000,0,0,1,0,0,0.02103,0,0,0,0,1,3.363967391,201969196.6,0,1,0,0,0,0,0,0,1,0,0.025284,0,31
PF00001207,DSK00001173,1,0,1,0,0,0,122914000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,122677284,0,1,0,0,0,0,0,0,1,0,0.02526,0,34
PF00001208,DSK00001174,1,0,1,0,0,0,7491000,0,1,0,0,0,0.02104,0,0,1,0,0,5.048423333,7458295.883,0,0,0,1,0,0,0,0,1,0,0.0582,0,34
PF00001211,DSK00001176,1,0,1,0,0,0,80608000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,80457241.01,0,1,0,0,0,0,0,0,1,0,0.025296,0,34
PF00001212,DSK00001177,1,0,1,0,0,0,170500000,0,1,0,0,0,0.02104,0,0,1,0,0,5.048423333,169800561.2,0,0,0,1,0,0,0,0,1,0,0.0582,0,35
PF00001213,DSK00001178,1,0,1,0,0,0,26697000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,26650317.53,0,1,0,0,0,0,0,0,1,0,0.025224,0,33
PF00001214,DSK00001179,1,0,1,0,0,0,76736000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,76601819.15,0,1,0,0,0,0,0,0,1,0,0.025224,0,34
PF00001215,DSK00001180,1,0,1,0,0,0,251581000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,250680499.9,0,1,0,0,0,0,0,0,1,0,0.02544,0,63
PF00001216,DSK00001181,1,0,1,0,0,0,768064000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,766719684.8,0,1,0,0,0,0,0,0,0,0,0.025248,0,32
PF00001219,DSK00001184,1,0,1,0,0,0,62513000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,62392608.26,0,1,0,0,0,0,0,0,1,0,0.02526,0,35
PF00001221,DSK00001186,1,0,1,0,0,0,116831000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,116619811.2,0,1,0,0,0,0,0,0,1,0,0.025236,0,33
PF00001222,DSK00001187,1,0,1,0,0,0,387156000,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,385006678.8,0,1,0,0,0,0,0,0,0,0,0.025656,0,96
PF00001224,DSK00001188,0,1,0,1,0,0,8.80E+07,0,0,1,0,0,0.02104,0,0,0,0,1,3.72553619,87835649.74,0,0,1,0,0,0,0,0,1,0,0.02526,0,34
